EN_R1,EN_A1,EN_SR2,EN_CR2,EN_A3,EN_CR3,EN_Part,FR_R1,FR_A1,FR_SR2,FR_CR2,FR_A3,FR_CR3,FR_Part
16,3,14,5,6,12,r102,8,11,15,3,11,4,r302
25,3,24,2,15,6,r103,13,14,14,10,12,16,r305
14,1,4,9,5,11,r104,14,6,24,0,17,5,r306
6,9,3,12,12,8,r106,6,15,12,8,16,6,r308
16,8,15,15,0,30,r107,7,16,20,5,19,4,r309
10,7,11,7,6,12,r108,7,16,19,6,18,7,r311
11,10,18,6,18,5,r109,12,7,17,3,18,3,r313
14,4,16,0,12,5,r110,5,18,22,0,24,0,r314
15,15,6,24,11,17,r111,16,9,14,5,11,12,r315
17,5,10,10,5,16,r112,7,6,13,4,12,6,r316
18,10,19,7,12,16,r113,12,7,15,5,12,8,r317
11,11,17,3,16,6,r114,10,18,27,0,30,0,r318
13,6,13,5,5,8,r115,3,25,26,2,29,0,r319
11,8,16,5,10,15,r116,4,19,14,8,18,3,r320
20,5,19,6,10,12,r117,6,11,17,3,9,8,r321
12,8,7,10,11,10,r118,0,27,17,3,26,0,r322
24,1,24,1,9,5,r119,NA,NA,NA,NA,NA,NA,NA
