EN_R1,EN_A1,EN_SR2,EN_CR2,EN_A3,EN_CR3,EN_Part,FR_R1,FR_A1,FR_SR2,FR_CR2,FR_A3,FR_CR3,FR_Part
12,8,8,11,10,10,r1,10,8,10,8,10,13,r01
5,14,14,5,15,3,r2,0,24,21,0,25,0,r02
1,14,2,13,9,11,r3,9,15,14,5,21,5,r03
0,17,13,7,16,7,r4,4,17,15,9,21,2,r04
15,4,5,16,3,17,r5,1,15,12,0,18,0,r05
7,11,11,4,10,4,r6,1,18,3,14,11,11,r06
3,14,6,10,5,7,r7,13,5,9,9,13,8,r07
8,12,13,6,4,14,r8,6,9,20,5,21,1,r08
1,15,9,3,13,4,r09,11,8,16,4,12,7,r09
4,17,10,12,22,0,r10,16,8,4,16,2,21,r010
1,19,6,10,15,4,r11,4,9,8,9,4,8,r011
16,4,17,3,12,7,r12,26,3,26,3,9,20,r012
10,11,20,2,17,4,r13,4,13,14,8,14,7,r013
5,7,5,8,12,1,r14,18,1,7,8,7,11,r014
1,17,19,1,22,0,r15,NA,NA,NA,NA,NA,NA,NA
