sound,rule,binomials,structure,predicted_order,binomials2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_4.keys,key_resp_4.rt,rating_2.response,rating_2.rt,rating_5.response,rating_5.rt,date,frameRate,expName,session,participant
,,,,,,,,,,,,,,space,9.7674355292,,,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\rizeptrizep.wav,FCN,rizept and rizep                   rizep and rizept,conj,R,,0,0,0,55,,,,,,,5,10.185,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\guskingluskin.wav,ICN,guskin-gluskin            gluskin-guskin,red,L,,0,1,1,42,,,,,,,6,8.963,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\plibsterpibster.wav,ICN,plibster and pibster              pibster and plibster,conj,R,,0,2,2,49,,,,,,,6,7.663,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\beetowbreetow.wav,ICN,beetow and breetow             breetow and beetow,conj,L,,0,3,3,48,,,,,,,1,7.707,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\deefelheefel.wav,IS,deefel-heefel               heefel-deefel,red,R,,0,4,4,3,,,,,,,2,8.68,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\hestamhestad.wav,FS,hestam and hestad            hestad and hestam,conj,R,,0,5,5,17,,,,,,,1,5.719,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\fullsyfoolsy.wav,VL,fullsy and foolsy                    foolsy and fullsy,conj,L,,0,6,6,37,,,,,,,1,7.631,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\croosetcooset.wav,ICN,crooset-cooset           cooset-crooset,red,R,,0,7,7,43,,,,,,,6,9.858,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\deckeldockel.wav,VQ,deckel-dockel                dockel-deckel,red,L,,0,8,8,23,,,,,,,2,11.499,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\vertylerty.wav,IS,verty-lerty                   lerty-verty,red,R,,0,9,9,1,,,,,,,6,9.199,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\loogleboogle.wav,IS,loogle-boogle              boogle-loogle,red,L,,0,10,10,0,,,,,,,4,17.442,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\rigsterragster.wav,VQ,rigster and ragster                ragster and rigster,conj,L,,0,11,11,28,,,,,,,4,9.016,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\listerleaster.wav,VL,lister-leaster               leaster-lister,red,L,,0,12,12,30,,,,,,,2,7.285,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\poolsterpullster.wav,VL,poolster-pullster          pullster-poolster,red,R,,0,13,13,31,,,,,,,5,5.683,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\horketnorket.wav,IS,horkit-norkit                norkit-horkit,red,L,,0,14,14,2,,,,,,,6,8.878,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\bickeshbickel.wav,FS,bickesh-bickell           bickell-bickesh,red,L,,0,15,15,10,,,,,,,1,7.145,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\feckinfreckin.wav,ICN,feckin-freckin              freckin-feckin,red,L,,0,16,16,44,,,,,,,2,9.638,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\bepleckbeplock.wav,VQ,bepleck and beplock            beplock and bepleck,conj,L,,0,17,17,27,,,,,,,1,9.957,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\beroapberoapt.wav,FCN,beroap-beroapt          beroapt-beroap,red,L,,0,18,18,52,,,,,,,5,9.703,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\spoolkyspullky.wav,VL,spoolky and spullky              spullky and spoolky,conj,R,,0,19,19,35,,,,,,,3,15.518,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\revidrevad.wav,VQ,revid-revad                     revad-revid,red,L,,0,20,20,24,,,,,,,5,8.744,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\yoglitstoglits.wav,IS,yoglits and toglits                toglits and yoglits,conj,L,,0,21,21,8,,,,,,,2,10.364,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\sigglestiggle.wav,ICN,siggle and stiggle                stiggle and siggle,conj,L,,0,22,22,46,,,,,,,2,7.359,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\tefoiltefoig.wav,FS,tefoil and tefoig                  tefoig and tefoil,conj,R,,0,23,23,19,,,,,,,6,6.124,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
