sound,rule,binomials,structure,predicted_order,binomials2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_4.keys,key_resp_4.rt,rating_2.response,rating_2.rt,rating_5.response,rating_5.rt,date,frameRate,expName,session,participant
,,,,,,,,,,,,,,space,9.8552950849,,,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\sladvinslidvin.wav,VQ,sladvin and slidvin                slidvin and sladvin,conj,R,,0,0,0,26,,,,,,,5,6.94,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\deckeldockel.wav,VQ,deckel-dockel                dockel-deckel,red,L,,0,1,1,23,,,,,,,2,4.935,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\croosetcooset.wav,ICN,crooset-cooset           cooset-crooset,red,R,,0,2,2,43,,,,,,,6,6.765,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\pichoogpichoon.wav,FS,pichoog and pichoon          pichoon and pichoog,conj,L,,0,3,3,16,,,,,,,2,6.776,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\loskylesky.wav,VQ,losky and lesky                   lesky and losky,conj,R,,0,4,4,29,,,,,,,1,4.55,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\revidrevad.wav,VQ,revid-revad                     revad-revid,red,L,,0,5,5,24,,,,,,,5,5.53,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\booteecboteect.wav,FCN,boteec and boteect              boteect and boteec,conj,L,,0,6,6,56,,,,,,,4,6.903,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\miscottmiscon.wav,FS,miscott-miscon          miscon-miscott,red,L,,0,7,7,14,,,,,,,6,6.225,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\plibsterpibster.wav,ICN,plibster and pibster              pibster and plibster,conj,R,,0,8,8,49,,,,,,,5,5.941,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\sigglestiggle.wav,ICN,siggle and stiggle                stiggle and siggle,conj,L,,0,9,9,46,,,,,,,1,4.871,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\listerleaster.wav,VL,lister-leaster               leaster-lister,red,L,,0,10,10,30,,,,,,,6,4.858,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\tefoiltefoig.wav,FS,tefoil and tefoig                  tefoig and tefoil,conj,R,,0,11,11,19,,,,,,,5,6.321,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\loogleboogle.wav,IS,loogle-boogle              boogle-loogle,red,L,,0,12,12,0,,,,,,,4,6.75,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\steloatsteloam.wav,FS,steloat and steloam           steloam and steloat,conj,L,,0,13,13,18,,,,,,,6,5.823,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\biscowwiscow.wav,IS,biscow and wiscow              wiscow and biscow,conj,R,,0,14,14,9,,,,,,,6,5.196,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\beroapberoapt.wav,FCN,beroap-beroapt          beroapt-beroap,red,L,,0,15,15,52,,,,,,,4,6.776,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\horketnorket.wav,IS,horkit-norkit                norkit-horkit,red,L,,0,16,16,2,,,,,,,1,5.408,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
