sound,rule,binomials,structure,predicted_order,binomials2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_4.keys,key_resp_4.rt,rating_2.response,rating_2.rt,rating_5.response,rating_5.rt,date,frameRate,expName,session,participant
,,,,,,,,,,,,,,space,6.3051759342,,,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\vertylerty.wav,IS,verty-lerty                   lerty-verty,red,R,,0,0,0,1,,,,,,,3,7.865,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\bockelbeckel.wav,VQ,bockel-beckel                beckel-bockel,red,R,,0,1,1,21,,,,,,,5,8.702,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\guskingluskin.wav,ICN,guskin-gluskin            gluskin-guskin,red,L,,0,2,2,42,,,,,,,4,9.12,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\cleesty-clisty.wav,VL,cleesty-clisty              clisty-cleesty,red,R,,0,3,3,32,,,,,,,5,8.441,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\rebamrebat.wav,FS,rebam-rebat               rebat-rebam,red,R,,0,4,4,13,,,,,,,5,5.21,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\clazzipclizzip.wav,VQ,clazzip-clizzip               clizzip-clazzip,red,R,,0,5,5,22,,,,,,,5,5.578,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\spettysetty.wav,ICN,spetty and setty                  setty and spetty,conj,R,,0,6,6,45,,,,,,,3,9.98,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\beroapberoapt.wav,FCN,beroap-beroapt          beroapt-beroap,red,L,,0,7,7,52,,,,,,,2,7.685,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\spoolkyspullky.wav,VL,spoolky and spullky              spullky and spoolky,conj,R,,0,8,8,35,,,,,,,4,6.956,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\biscowwiscow.wav,IS,biscow and wiscow              wiscow and biscow,conj,R,,0,9,9,9,,,,,,,3,12.496,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\feckinfreckin.wav,ICN,feckin-freckin              freckin-feckin,red,L,,0,10,10,44,,,,,,,2,11.181,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
