sound,rule,binomials,structure,predicted_order,binomials2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_4.keys,key_resp_4.rt,rating_2.response,rating_2.rt,rating_5.response,rating_5.rt,date,frameRate,expName,session,participant
,,,,,,,,,,,,,,space,18.3221762475,,,,,2016_Mar_04_1400,32.0424680542,binomials,1,r119
C:\Users\viola\Desktop\ENG_GHM\sponersoner.wav,ICN,sponer-soner              soner-sponer,red,R,,0,0,0,41,,,,,,,5,14.132,,,2016_Mar_04_1400,32.0424680542,binomials,1,r119
C:\Users\viola\Desktop\ENG_GHM\repooctrepooc.wav,FCN,repooct-repooc          repooc-repooct,red,R,,0,1,1,51,,,,,,,2,11.224,,,2016_Mar_04_1400,32.0424680542,binomials,1,r119
C:\Users\viola\Desktop\ENG_GHM\listerleaster.wav,VL,lister-leaster               leaster-lister,red,L,,0,2,2,30,,,,,,,4,9.294,,,2016_Mar_04_1400,32.0424680542,binomials,1,r119
C:\Users\viola\Desktop\ENG_GHM\rebamrebat.wav,FS,rebam-rebat               rebat-rebam,red,R,,0,3,3,13,,,,,,,1,9.211,,,2016_Mar_04_1400,32.0424680542,binomials,1,r119
C:\Users\viola\Desktop\ENG_GHM\redoolredoob.wav,FS,redool and redoob       redoob and redool,conj,R,,0,4,4,15,,,,,,,1,9.318,,,2016_Mar_04_1400,32.0424680542,binomials,1,r119
C:\Users\viola\Desktop\ENG_GHM\loogleboogle.wav,IS,loogle-boogle              boogle-loogle,red,L,,0,5,5,0,,,,,,,5,9.209,,,2016_Mar_04_1400,32.0424680542,binomials,1,r119
C:\Users\viola\Desktop\ENG_GHM\steloatsteloam.wav,FS,steloat and steloam           steloam and steloat,conj,L,,0,6,6,18,,,,,,,5,10.548,,,2016_Mar_04_1400,32.0424680542,binomials,1,r119
C:\Users\viola\Desktop\ENG_GHM\bepleckbeplock.wav,VQ,bepleck and beplock            beplock and bepleck,conj,L,,0,7,7,27,,,,,,,6,9.735,,,2016_Mar_04_1400,32.0424680542,binomials,1,r119
C:\Users\viola\Desktop\ENG_GHM\restellresteg.wav,FS,restell-resteg              resteg-restell,red,R,,0,8,8,11,,,,,,,4,10.635,,,2016_Mar_04_1400,32.0424680542,binomials,1,r119
C:\Users\viola\Desktop\ENG_GHM\bullgorboolgor.wav,VL,bullgor-boolgor            boolgor-bullgor,red,L,,0,9,9,33,,,,,,,1,7.444,,,2016_Mar_04_1400,32.0424680542,binomials,1,r119
C:\Users\viola\Desktop\ENG_GHM\vertylerty.wav,IS,verty-lerty                   lerty-verty,red,R,,0,10,10,1,,,,,,,1,6.474,,,2016_Mar_04_1400,32.0424680542,binomials,1,r119
C:\Users\viola\Desktop\ENG_GHM\bockelbeckel.wav,VQ,bockel-beckel                beckel-bockel,red,R,,0,11,11,21,,,,,,,6,6.894,,,2016_Mar_04_1400,32.0424680542,binomials,1,r119
C:\Users\viola\Desktop\ENG_GHM\clazzipclizzip.wav,VQ,clazzip-clizzip               clizzip-clazzip,red,R,,0,12,12,22,,,,,,,3,9.327,,,2016_Mar_04_1400,32.0424680542,binomials,1,r119
C:\Users\viola\Desktop\ENG_GHM\rigsterragster.wav,VQ,rigster and ragster                ragster and rigster,conj,L,,0,13,13,28,,,,,,,1,8.175,,,2016_Mar_04_1400,32.0424680542,binomials,1,r119
C:\Users\viola\Desktop\ENG_GHM\plibsterpibster.wav,ICN,plibster and pibster              pibster and plibster,conj,R,,0,14,14,49,,,,,,,2,8.178,,,2016_Mar_04_1400,32.0424680542,binomials,1,r119
C:\Users\viola\Desktop\ENG_GHM\deckeldockel.wav,VQ,deckel-dockel                dockel-deckel,red,L,,0,15,15,23,,,,,,,5,7.725,,,2016_Mar_04_1400,32.0424680542,binomials,1,r119
C:\Users\viola\Desktop\ENG_GHM\beroapberoapt.wav,FCN,beroap-beroapt          beroapt-beroap,red,L,,0,16,16,52,,,,,,,2,8.148,,,2016_Mar_04_1400,32.0424680542,binomials,1,r119
C:\Users\viola\Desktop\ENG_GHM\rizeptrizep.wav,FCN,rizept and rizep                   rizep and rizept,conj,R,,0,17,17,55,,,,,,,6,8.351,,,2016_Mar_04_1400,32.0424680542,binomials,1,r119
