sound,rule,binomials,predicted_order,vowel,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,rating.response,rating.rt,date,frameRate,expName,session,participant,
,,,,,,,,,space,5.72581659524,,,2019_Mar_15_1314,59.9403091954,English,001,r14,
sem_slem_tem.wav,R/CO,sem and slem           sem and tem,R,none,0,0,0,23,,,2,8.77,2019_Mar_15_1314,59.9403091954,English,001,r14,
siz_saz_piz.wav,R/A,siz and saz           siz and piz,R,h,0,1,1,6,,,2,5.574,2019_Mar_15_1314,59.9403091954,English,001,r14,
sitch_satch_kitch.wav,R/A,sitch and satch           sitch and kitch,R,h,0,2,2,4,,,4,14.618,2019_Mar_15_1314,59.9403091954,English,001,r14,
sith_sath_tith.wav,R/A,sith and sath           sith and tith,R,h,0,3,3,8,,,4,4.475,2019_Mar_15_1314,59.9403091954,English,001,r14,
fev_flev_kev.wav,R/CO,fev and flev           fev and kev,R,none,0,4,4,25,,,4,5.06,2019_Mar_15_1314,59.9403091954,English,001,r14,
sith_slith_sath.wav,CO/A,sith and slith           sith and sath,L,h,0,5,5,18,,,4,5.792,2019_Mar_15_1314,59.9403091954,English,001,r14,
sitch_kitch_smitch.wav,R/CO,sitch and kitch           sitch and smitch,L,none,0,6,6,24,,,4,9.409,2019_Mar_15_1314,59.9403091954,English,001,r14,
thep_tep_thop.wav,R/A,thep and tep           thep and thop,L,a,0,7,7,7,,,4,9.858,2019_Mar_15_1314,59.9403091954,English,001,r14,
shiz_kiz_shriz.wav,R/CO,shiz and kiz           shiz and shriz,L,none,0,8,8,20,,,5,5.241,2019_Mar_15_1314,59.9403091954,English,001,r14,
sem_tem_som.wav,R/A,sem and tem           sem and som,L,a,0,9,9,3,,,4,8.807,2019_Mar_15_1314,59.9403091954,English,001,r14,
fep_fop_flep.wav,CO/A,fep and fop           fep and flep,R,a,0,10,10,11,,,4,5.13,2019_Mar_15_1314,59.9403091954,English,001,r14,
sitch_smitch_satch.wav,CO/A,sitch and smitch           sitch and satch,L,h,0,11,11,14,,,4,4.778,2019_Mar_15_1314,59.9403091954,English,001,r14,
shiz_shaz_kiz.wav,R/A,shiz and shaz           shiz and kiz,R,h,0,12,12,0,,,3,6.245,2019_Mar_15_1314,59.9403091954,English,001,r14,
feth_foth_fleth.wav,CO/A,feth and foth           feth and fleth,R,a,0,13,13,19,,,2,5.113,2019_Mar_15_1314,59.9403091954,English,001,r14,
fev_kev_fov.wav,R/A,fev and kev           fev and fov,L,a,0,14,14,5,,,2,5.71,2019_Mar_15_1314,59.9403091954,English,001,r14,
siz_stiz_saz.wav,CO/A,siz and stiz           siz and saz,L,h,0,15,15,16,,,5,6.144,2019_Mar_15_1314,59.9403091954,English,001,r14,
fep_kep_fop.wav,R/A,fep and kep           fep and fop,L,a,0,16,16,1,,,4,4.311,2019_Mar_15_1314,59.9403091954,English,001,r14,
siz_piz_stiz.wav,R/CO,siz and piz           siz and stiz,L,none,0,17,17,26,,,3,8.825,2019_Mar_15_1314,59.9403091954,English,001,r14,
feth_fleth_teth.wav,R/CO,feth and fleth           feth and teth,R,none,0,18,18,29,,,5,5.71,2019_Mar_15_1314,59.9403091954,English,001,r14,
shiz_shriz_shaz.wav,CO/A,shiz and shriz           shiz and shaz,L,h,0,19,19,10,,,5,6.741,2019_Mar_15_1314,59.9403091954,English,001,r14,
siff_saff_piff.wav,R/A,siff and saff           siff and piff,R,h,0,20,20,2,,,4,4.594,2019_Mar_15_1314,59.9403091954,English,001,r14,
thep_threp_tep.wav,R/CO,thep and threp           thep and tep,R,none,0,21,21,27,,,3,4.475,2019_Mar_15_1314,59.9403091954,English,001,r14,
sem_som_slem.wav,CO/A,sem and som           sem and slem,R,a,0,22,22,13,,,3,3.793,2019_Mar_15_1314,59.9403091954,English,001,r14,
feth_teth_foth.wav,R/A,feth and teth           feth and foth,L,a,0,23,23,9,,,4,8.392,2019_Mar_15_1314,59.9403091954,English,001,r14,
sith_tith_slith.wav,R/CO,sith and tith           sith and slith,L,none,0,24,24,28,,,3,3.63,2019_Mar_15_1314,59.9403091954,English,001,r14,
siff_piff_sliff.wav,R/CO,siff and piff           siff and sliff,L,none,0,25,25,22,,,4,6.426,2019_Mar_15_1314,59.9403091954,English,001,r14,
siff_sliff_saff.wav,CO/A,siff and sliff           siff and saff,L,h,0,26,26,12,,,4,3.278,2019_Mar_15_1314,59.9403091954,English,001,r14,
fep_flep_kep.wav,R/CO,fep and flep           fep and kep,R,none,0,27,27,21,,,3,4.708,2019_Mar_15_1314,59.9403091954,English,001,r14,
thep_thop_threp.wav,CO/A,thep and thop           thep and threp,R,a,0,28,28,17,,,3,7.578,2019_Mar_15_1314,59.9403091954,English,001,r14,
fev_fov_flev.wav,CO/A,fev and fov           fev and flev,R,a,0,29,29,15,,,3,6.244,2019_Mar_15_1314,59.9403091954,English,001,r14,
