sound,rule,binomials,predicted_order,vowel,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,rating.response,rating.rt,date,frameRate,expName,session,participant,
,,,,,,,,,space,2.74252545275,,,2019_Feb_08_1436,59.4298798265,English,001,r15,
fep_kep_fop.wav,R/A,fep and kep           fep and fop,L,a,0,0,0,1,,,5,8.252,2019_Feb_08_1436,59.4298798265,English,001,r15,
siff_piff_sliff.wav,R/CO,siff and piff           siff and sliff,L,none,0,1,1,22,,,4,7.858,2019_Feb_08_1436,59.4298798265,English,001,r15,
shiz_shaz_kiz.wav,R/A,shiz and shaz           shiz and kiz,R,h,0,2,2,0,,,2,8.007,2019_Feb_08_1436,59.4298798265,English,001,r15,
feth_foth_fleth.wav,CO/A,feth and foth           feth and fleth,R,a,0,3,3,19,,,1,9.358,2019_Feb_08_1436,59.4298798265,English,001,r15,
thep_tep_thop.wav,R/A,thep and tep           thep and thop,L,a,0,4,4,7,,,5,5.875,2019_Feb_08_1436,59.4298798265,English,001,r15,
sem_slem_tem.wav,R/CO,sem and slem           sem and tem,R,none,0,5,5,23,,,5,7.175,2019_Feb_08_1436,59.4298798265,English,001,r15,
sitch_kitch_smitch.wav,R/CO,sitch and kitch           sitch and smitch,L,none,0,6,6,24,,,2,7.056,2019_Feb_08_1436,59.4298798265,English,001,r15,
shiz_shriz_shaz.wav,CO/A,shiz and shriz           shiz and shaz,L,h,0,7,7,10,,,6,4.025,2019_Feb_08_1436,59.4298798265,English,001,r15,
siz_stiz_saz.wav,CO/A,siz and stiz           siz and saz,L,h,0,8,8,16,,,5,9.76,2019_Feb_08_1436,59.4298798265,English,001,r15,
fev_kev_fov.wav,R/A,fev and kev           fev and fov,L,a,0,9,9,5,,,5,8.422,2019_Feb_08_1436,59.4298798265,English,001,r15,
sitch_satch_kitch.wav,R/A,sitch and satch           sitch and kitch,R,h,0,10,10,4,,,2,6.598,2019_Feb_08_1436,59.4298798265,English,001,r15,
siff_saff_piff.wav,R/A,siff and saff           siff and piff,R,h,0,11,11,2,,,2,8.76,2019_Feb_08_1436,59.4298798265,English,001,r15,
siz_saz_piz.wav,R/A,siz and saz           siz and piz,R,h,0,12,12,6,,,2,7.305,2019_Feb_08_1436,59.4298798265,English,001,r15,
sitch_smitch_satch.wav,CO/A,sitch and smitch           sitch and satch,L,h,0,13,13,14,,,5,6.79,2019_Feb_08_1436,59.4298798265,English,001,r15,
fep_flep_kep.wav,R/CO,fep and flep           fep and kep,R,none,0,14,14,21,,,6,5.348,2019_Feb_08_1436,59.4298798265,English,001,r15,
sith_slith_sath.wav,CO/A,sith and slith           sith and sath,L,h,0,15,15,18,,,5,6.107,2019_Feb_08_1436,59.4298798265,English,001,r15,
thep_threp_tep.wav,R/CO,thep and threp           thep and tep,R,none,0,16,16,27,,,5,7.599,2019_Feb_08_1436,59.4298798265,English,001,r15,
sith_tith_slith.wav,R/CO,sith and tith           sith and slith,L,none,0,17,17,28,,,2,7.393,2019_Feb_08_1436,59.4298798265,English,001,r15,
sem_tem_som.wav,R/A,sem and tem           sem and som,L,a,0,18,18,3,,,3,7.773,2019_Feb_08_1436,59.4298798265,English,001,r15,
siz_piz_stiz.wav,R/CO,siz and piz           siz and stiz,L,none,0,19,19,26,,,2,6.493,2019_Feb_08_1436,59.4298798265,English,001,r15,
shiz_kiz_shriz.wav,R/CO,shiz and kiz           shiz and shriz,L,none,0,20,20,20,,,2,6.353,2019_Feb_08_1436,59.4298798265,English,001,r15,
fep_fop_flep.wav,CO/A,fep and fop           fep and flep,R,a,0,21,21,11,,,2,7.568,2019_Feb_08_1436,59.4298798265,English,001,r15,
siff_sliff_saff.wav,CO/A,siff and sliff           siff and saff,L,h,0,22,22,12,,,5,6.138,2019_Feb_08_1436,59.4298798265,English,001,r15,
fev_fov_flev.wav,CO/A,fev and fov           fev and flev,R,a,0,23,23,15,,,2,5.906,2019_Feb_08_1436,59.4298798265,English,001,r15,
feth_teth_foth.wav,R/A,feth and teth           feth and foth,L,a,0,24,24,9,,,4,7.659,2019_Feb_08_1436,59.4298798265,English,001,r15,
fev_flev_kev.wav,R/CO,fev and flev           fev and kev,R,none,0,25,25,25,,,5,8.207,2019_Feb_08_1436,59.4298798265,English,001,r15,
feth_fleth_teth.wav,R/CO,feth and fleth           feth and teth,R,none,0,26,26,29,,,5,5.878,2019_Feb_08_1436,59.4298798265,English,001,r15,
thep_thop_threp.wav,CO/A,thep and thop           thep and threp,R,a,0,27,27,17,,,2,4.153,2019_Feb_08_1436,59.4298798265,English,001,r15,
sem_som_slem.wav,CO/A,sem and som           sem and slem,R,a,0,28,28,13,,,2,6.311,2019_Feb_08_1436,59.4298798265,English,001,r15,
sith_sath_tith.wav,R/A,sith and sath           sith and tith,R,h,0,29,29,8,,,2,7.241,2019_Feb_08_1436,59.4298798265,English,001,r15,
