sound,rule,binomials,predicted_order,vowel,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,rating.response,rating.rt,date,frameRate,expName,session,participant,
,,,,,,,,,space,16.1638926198,,,2018_Oct_25_1529,60.0291469375,English,001,r1,
siz_saz_piz.wav,R/A,siz and saz           siz and piz,R,h,0,0,0,6,,,2,7.642,2018_Oct_25_1529,60.0291469375,English,001,r1,
shiz_kiz_shriz.wav,R/CO,shiz and kiz           shiz and shriz,L,none,0,1,1,20,,,5,8.6,2018_Oct_25_1529,60.0291469375,English,001,r1,
shiz_shriz_shaz.wav,CO/A,shiz and shriz           shiz and shaz,L,h,0,2,2,10,,,2,8.604,2018_Oct_25_1529,60.0291469375,English,001,r1,
sem_som_slem.wav,CO/A,sem and som           sem and slem,R,a,0,3,3,13,,,2,8.084,2018_Oct_25_1529,60.0291469375,English,001,r1,
thep_tep_thop.wav,R/A,thep and tep           thep and thop,L,a,0,4,4,7,,,2,11.715,2018_Oct_25_1529,60.0291469375,English,001,r1,
siff_piff_sliff.wav,R/CO,siff and piff           siff and sliff,L,none,0,5,5,22,,,2,7.817,2018_Oct_25_1529,60.0291469375,English,001,r1,
sem_slem_tem.wav,R/CO,sem and slem           sem and tem,R,none,0,6,6,23,,,3,16.643,2018_Oct_25_1529,60.0291469375,English,001,r1,
sitch_kitch_smitch.wav,R/CO,sitch and kitch           sitch and smitch,L,none,0,7,7,24,,,2,7.68,2018_Oct_25_1529,60.0291469375,English,001,r1,
thep_thop_threp.wav,CO/A,thep and thop           thep and threp,R,a,0,8,8,17,,,2,5.79,2018_Oct_25_1529,60.0291469375,English,001,r1,
sitch_smitch_satch.wav,CO/A,sitch and smitch           sitch and satch,L,h,0,9,9,14,,,2,7.081,2018_Oct_25_1529,60.0291469375,English,001,r1,
feth_foth_fleth.wav,CO/A,feth and foth           feth and fleth,R,a,0,10,10,19,,,2,5.791,2018_Oct_25_1529,60.0291469375,English,001,r1,
fep_flep_kep.wav,R/CO,fep and flep           fep and kep,R,none,0,11,11,21,,,2,6.623,2018_Oct_25_1529,60.0291469375,English,001,r1,
siz_stiz_saz.wav,CO/A,siz and stiz           siz and saz,L,h,0,12,12,16,,,2,6.213,2018_Oct_25_1529,60.0291469375,English,001,r1,
siff_saff_piff.wav,R/A,siff and saff           siff and piff,R,h,0,13,13,2,,,2,5.891,2018_Oct_25_1529,60.0291469375,English,001,r1,
thep_threp_tep.wav,R/CO,thep and threp           thep and tep,R,none,0,14,14,27,,,2,5.772,2018_Oct_25_1529,60.0291469375,English,001,r1,
sith_sath_tith.wav,R/A,sith and sath           sith and tith,R,h,0,15,15,8,,,2,5.634,2018_Oct_25_1529,60.0291469375,English,001,r1,
fep_kep_fop.wav,R/A,fep and kep           fep and fop,L,a,0,16,16,1,,,2,8.652,2018_Oct_25_1529,60.0291469375,English,001,r1,
sitch_satch_kitch.wav,R/A,sitch and satch           sitch and kitch,R,h,0,17,17,4,,,5,6.391,2018_Oct_25_1529,60.0291469375,English,001,r1,
fev_kev_fov.wav,R/A,fev and kev           fev and fov,L,a,0,18,18,5,,,2,5.84,2018_Oct_25_1529,60.0291469375,English,001,r1,
feth_teth_foth.wav,R/A,feth and teth           feth and foth,L,a,0,19,19,9,,,2,8.168,2018_Oct_25_1529,60.0291469375,English,001,r1,
fev_fov_flev.wav,CO/A,fev and fov           fev and flev,R,a,0,20,20,15,,,2,5.699,2018_Oct_25_1529,60.0291469375,English,001,r1,
feth_fleth_teth.wav,R/CO,feth and fleth           feth and teth,R,none,0,21,21,29,,,2,5.579,2018_Oct_25_1529,60.0291469375,English,001,r1,
sith_tith_slith.wav,R/CO,sith and tith           sith and slith,L,none,0,22,22,28,,,2,5.722,2018_Oct_25_1529,60.0291469375,English,001,r1,
siz_piz_stiz.wav,R/CO,siz and piz           siz and stiz,L,none,0,23,23,26,,,2,6.185,2018_Oct_25_1529,60.0291469375,English,001,r1,
siff_sliff_saff.wav,CO/A,siff and sliff           siff and saff,L,h,0,24,24,12,,,2,6.904,2018_Oct_25_1529,60.0291469375,English,001,r1,
fev_flev_kev.wav,R/CO,fev and flev           fev and kev,R,none,0,25,25,25,,,2,7.315,2018_Oct_25_1529,60.0291469375,English,001,r1,
fep_fop_flep.wav,CO/A,fep and fop           fep and flep,R,a,0,26,26,11,,,5,6.021,2018_Oct_25_1529,60.0291469375,English,001,r1,
shiz_shaz_kiz.wav,R/A,shiz and shaz           shiz and kiz,R,h,0,27,27,0,,,2,7.741,2018_Oct_25_1529,60.0291469375,English,001,r1,
sem_tem_som.wav,R/A,sem and tem           sem and som,L,a,0,28,28,3,,,2,5.85,2018_Oct_25_1529,60.0291469375,English,001,r1,
sith_slith_sath.wav,CO/A,sith and slith           sith and sath,L,h,0,29,29,18,,,5,6.022,2018_Oct_25_1529,60.0291469375,English,001,r1,
