sound,rule,binomials,predicted_order,vowel,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,rating.response,rating.rt,date,frameRate,expName,session,participant,
,,,,,,,,,space,4.16743395424,,,2018_Nov_15_1805,59.7852199705,English,001,r5,
shiz_shaz_kiz.wav,R/A,shiz and shaz           shiz and kiz,R,h,0,0,0,0,,,2,10.979,2018_Nov_15_1805,59.7852199705,English,001,r5,
thep_threp_tep.wav,R/CO,thep and threp           thep and tep,R,none,0,1,1,27,,,1,9.717,2018_Nov_15_1805,59.7852199705,English,001,r5,
sem_tem_som.wav,R/A,sem and tem           sem and som,L,a,0,2,2,3,,,1,4.424,2018_Nov_15_1805,59.7852199705,English,001,r5,
shiz_kiz_shriz.wav,R/CO,shiz and kiz           shiz and shriz,L,none,0,3,3,20,,,3,14.086,2018_Nov_15_1805,59.7852199705,English,001,r5,
feth_foth_fleth.wav,CO/A,feth and foth           feth and fleth,R,a,0,4,4,19,,,5,10.692,2018_Nov_15_1805,59.7852199705,English,001,r5,
sitch_smitch_satch.wav,CO/A,sitch and smitch           sitch and satch,L,h,0,5,5,14,,,2,7.151,2018_Nov_15_1805,59.7852199705,English,001,r5,
siz_saz_piz.wav,R/A,siz and saz           siz and piz,R,h,0,6,6,6,,,5,7.687,2018_Nov_15_1805,59.7852199705,English,001,r5,
feth_teth_foth.wav,R/A,feth and teth           feth and foth,L,a,0,7,7,9,,,3,8.572,2018_Nov_15_1805,59.7852199705,English,001,r5,
fep_kep_fop.wav,R/A,fep and kep           fep and fop,L,a,0,8,8,1,,,5,6.559,2018_Nov_15_1805,59.7852199705,English,001,r5,
feth_fleth_teth.wav,R/CO,feth and fleth           feth and teth,R,none,0,9,9,29,,,2,8.629,2018_Nov_15_1805,59.7852199705,English,001,r5,
shiz_shriz_shaz.wav,CO/A,shiz and shriz           shiz and shaz,L,h,0,10,10,10,,,2,7.797,2018_Nov_15_1805,59.7852199705,English,001,r5,
sith_tith_slith.wav,R/CO,sith and tith           sith and slith,L,none,0,11,11,28,,,2,8.119,2018_Nov_15_1805,59.7852199705,English,001,r5,
fep_flep_kep.wav,R/CO,fep and flep           fep and kep,R,none,0,12,12,21,,,1,6.054,2018_Nov_15_1805,59.7852199705,English,001,r5,
sitch_satch_kitch.wav,R/A,sitch and satch           sitch and kitch,R,h,0,13,13,4,,,5,9.817,2018_Nov_15_1805,59.7852199705,English,001,r5,
siff_saff_piff.wav,R/A,siff and saff           siff and piff,R,h,0,14,14,2,,,4,12.828,2018_Nov_15_1805,59.7852199705,English,001,r5,
sith_slith_sath.wav,CO/A,sith and slith           sith and sath,L,h,0,15,15,18,,,2,4.911,2018_Nov_15_1805,59.7852199705,English,001,r5,
sith_sath_tith.wav,R/A,sith and sath           sith and tith,R,h,0,16,16,8,,,5,11.883,2018_Nov_15_1805,59.7852199705,English,001,r5,
sem_slem_tem.wav,R/CO,sem and slem           sem and tem,R,none,0,17,17,23,,,2,7.315,2018_Nov_15_1805,59.7852199705,English,001,r5,
sem_som_slem.wav,CO/A,sem and som           sem and slem,R,a,0,18,18,13,,,2,5.618,2018_Nov_15_1805,59.7852199705,English,001,r5,
fev_fov_flev.wav,CO/A,fev and fov           fev and flev,R,a,0,19,19,15,,,5,15.619,2018_Nov_15_1805,59.7852199705,English,001,r5,
siz_stiz_saz.wav,CO/A,siz and stiz           siz and saz,L,h,0,20,20,16,,,2,6.539,2018_Nov_15_1805,59.7852199705,English,001,r5,
thep_thop_threp.wav,CO/A,thep and thop           thep and threp,R,a,0,21,21,17,,,6,5.254,2018_Nov_15_1805,59.7852199705,English,001,r5,
siff_piff_sliff.wav,R/CO,siff and piff           siff and sliff,L,none,0,22,22,22,,,2,5.023,2018_Nov_15_1805,59.7852199705,English,001,r5,
sitch_kitch_smitch.wav,R/CO,sitch and kitch           sitch and smitch,L,none,0,23,23,24,,,5,8.314,2018_Nov_15_1805,59.7852199705,English,001,r5,
thep_tep_thop.wav,R/A,thep and tep           thep and thop,L,a,0,24,24,7,,,2,9.526,2018_Nov_15_1805,59.7852199705,English,001,r5,
siff_sliff_saff.wav,CO/A,siff and sliff           siff and saff,L,h,0,25,25,12,,,2,5.85,2018_Nov_15_1805,59.7852199705,English,001,r5,
fev_kev_fov.wav,R/A,fev and kev           fev and fov,L,a,0,26,26,5,,,2,10.711,2018_Nov_15_1805,59.7852199705,English,001,r5,
fep_fop_flep.wav,CO/A,fep and fop           fep and flep,R,a,0,27,27,11,,,3,5.932,2018_Nov_15_1805,59.7852199705,English,001,r5,
siz_piz_stiz.wav,R/CO,siz and piz           siz and stiz,L,none,0,28,28,26,,,5,4.504,2018_Nov_15_1805,59.7852199705,English,001,r5,
fev_flev_kev.wav,R/CO,fev and flev           fev and kev,R,none,0,29,29,25,,,2,12.144,2018_Nov_15_1805,59.7852199705,English,001,r5,
