sound,rule,binomials,predicted_order,vowel,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,rating.response,rating.rt,date,frameRate,expName,session,participant,
,,,,,,,,,space,1.78990371851,,,2018_Dec_06_1608,None,English,001,r6,
shiz_shaz_kiz.wav,R/A,shiz and shaz           shiz and kiz,R,h,0,0,0,0,,,3,9.446,2018_Dec_06_1608,None,English,001,r6,
thep_threp_tep.wav,R/CO,thep and threp           thep and tep,R,none,0,1,1,27,,,1,6.809,2018_Dec_06_1608,None,English,001,r6,
siz_saz_piz.wav,R/A,siz and saz           siz and piz,R,h,0,2,2,6,,,2,6.03,2018_Dec_06_1608,None,English,001,r6,
shiz_kiz_shriz.wav,R/CO,shiz and kiz           shiz and shriz,L,none,0,3,3,20,,,4,8.526,2018_Dec_06_1608,None,English,001,r6,
shiz_shriz_shaz.wav,CO/A,shiz and shriz           shiz and shaz,L,h,0,4,4,10,,,5,4.493,2018_Dec_06_1608,None,English,001,r6,
fep_fop_flep.wav,CO/A,fep and fop           fep and flep,R,a,0,5,5,11,,,2,4.841,2018_Dec_06_1608,None,English,001,r6,
sitch_satch_kitch.wav,R/A,sitch and satch           sitch and kitch,R,h,0,6,6,4,,,3,6.593,2018_Dec_06_1608,None,English,001,r6,
feth_fleth_teth.wav,R/CO,feth and fleth           feth and teth,R,none,0,7,7,29,,,4,4.878,2018_Dec_06_1608,None,English,001,r6,
fep_kep_fop.wav,R/A,fep and kep           fep and fop,L,a,0,8,8,1,,,5,4.461,2018_Dec_06_1608,None,English,001,r6,
thep_thop_threp.wav,CO/A,thep and thop           thep and threp,R,a,0,9,9,17,,,2,4.41,2018_Dec_06_1608,None,English,001,r6,
feth_teth_foth.wav,R/A,feth and teth           feth and foth,L,a,0,10,10,9,,,4,6.069,2018_Dec_06_1608,None,English,001,r6,
feth_foth_fleth.wav,CO/A,feth and foth           feth and fleth,R,a,0,11,11,19,,,3,7.034,2018_Dec_06_1608,None,English,001,r6,
thep_tep_thop.wav,R/A,thep and tep           thep and thop,L,a,0,12,12,7,,,2,5.498,2018_Dec_06_1608,None,English,001,r6,
fev_flev_kev.wav,R/CO,fev and flev           fev and kev,R,none,0,13,13,25,,,5,8.551,2018_Dec_06_1608,None,English,001,r6,
sitch_kitch_smitch.wav,R/CO,sitch and kitch           sitch and smitch,L,none,0,14,14,24,,,2,7.555,2018_Dec_06_1608,None,English,001,r6,
fep_flep_kep.wav,R/CO,fep and flep           fep and kep,R,none,0,15,15,21,,,4,7.715,2018_Dec_06_1608,None,English,001,r6,
sith_sath_tith.wav,R/A,sith and sath           sith and tith,R,h,0,16,16,8,,,3,6.283,2018_Dec_06_1608,None,English,001,r6,
sith_slith_sath.wav,CO/A,sith and slith           sith and sath,L,h,0,17,17,18,,,4,5.505,2018_Dec_06_1608,None,English,001,r6,
sitch_smitch_satch.wav,CO/A,sitch and smitch           sitch and satch,L,h,0,18,18,14,,,2,6.459,2018_Dec_06_1608,None,English,001,r6,
sem_tem_som.wav,R/A,sem and tem           sem and som,L,a,0,19,19,3,,,1,7.31,2018_Dec_06_1608,None,English,001,r6,
fev_kev_fov.wav,R/A,fev and kev           fev and fov,L,a,0,20,20,5,,,2,5.264,2018_Dec_06_1608,None,English,001,r6,
siff_piff_sliff.wav,R/CO,siff and piff           siff and sliff,L,none,0,21,21,22,,,3,7.308,2018_Dec_06_1608,None,English,001,r6,
siz_piz_stiz.wav,R/CO,siz and piz           siz and stiz,L,none,0,22,22,26,,,3,8.526,2018_Dec_06_1608,None,English,001,r6,
siz_stiz_saz.wav,CO/A,siz and stiz           siz and saz,L,h,0,23,23,16,,,4,6.77,2018_Dec_06_1608,None,English,001,r6,
sem_slem_tem.wav,R/CO,sem and slem           sem and tem,R,none,0,24,24,23,,,5,7.7,2018_Dec_06_1608,None,English,001,r6,
siff_sliff_saff.wav,CO/A,siff and sliff           siff and saff,L,h,0,25,25,12,,,3,7.677,2018_Dec_06_1608,None,English,001,r6,
sith_tith_slith.wav,R/CO,sith and tith           sith and slith,L,none,0,26,26,28,,,3,4.77,2018_Dec_06_1608,None,English,001,r6,
sem_som_slem.wav,CO/A,sem and som           sem and slem,R,a,0,27,27,13,,,3,5.68,2018_Dec_06_1608,None,English,001,r6,
fev_fov_flev.wav,CO/A,fev and fov           fev and flev,R,a,0,28,28,15,,,4,7.789,2018_Dec_06_1608,None,English,001,r6,
siff_saff_piff.wav,R/A,siff and saff           siff and piff,R,h,0,29,29,2,,,1,6.079,2018_Dec_06_1608,None,English,001,r6,
