sound,rule,binomials,predicted_order,vowel,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,rating.response,rating.rt,date,frameRate,expName,session,participant,
,,,,,,,,,space,2.75859838526,,,2019_Jan_23_1821,59.8953765395,English,001,r8,
sitch_satch_kitch.wav,R/A,sitch and satch           sitch and kitch,R,h,0,0,0,4,,,2,12.661,2019_Jan_23_1821,59.8953765395,English,001,r8,
fep_kep_fop.wav,R/A,fep and kep           fep and fop,L,a,0,1,1,1,,,2,22.809,2019_Jan_23_1821,59.8953765395,English,001,r8,
thep_thop_threp.wav,CO/A,thep and thop           thep and threp,R,a,0,2,2,17,,,6,4.292,2019_Jan_23_1821,59.8953765395,English,001,r8,
thep_threp_tep.wav,R/CO,thep and threp           thep and tep,R,none,0,3,3,27,,,5,3.91,2019_Jan_23_1821,59.8953765395,English,001,r8,
sem_slem_tem.wav,R/CO,sem and slem           sem and tem,R,none,0,4,4,23,,,3,4.88,2019_Jan_23_1821,59.8953765395,English,001,r8,
sitch_kitch_smitch.wav,R/CO,sitch and kitch           sitch and smitch,L,none,0,5,5,24,,,2,4.631,2019_Jan_23_1821,59.8953765395,English,001,r8,
siff_sliff_saff.wav,CO/A,siff and sliff           siff and saff,L,h,0,6,6,12,,,2,4.88,2019_Jan_23_1821,59.8953765395,English,001,r8,
shiz_kiz_shriz.wav,R/CO,shiz and kiz           shiz and shriz,L,none,0,7,7,20,,,1,1.41,2019_Jan_23_1821,59.8953765395,English,001,r8,
sith_slith_sath.wav,CO/A,sith and slith           sith and sath,L,h,0,8,8,18,,,2,3.979,2019_Jan_23_1821,59.8953765395,English,001,r8,
fev_flev_kev.wav,R/CO,fev and flev           fev and kev,R,none,0,9,9,25,,,2,1.826,2019_Jan_23_1821,59.8953765395,English,001,r8,
siff_saff_piff.wav,R/A,siff and saff           siff and piff,R,h,0,10,10,2,,,2,4.893,2019_Jan_23_1821,59.8953765395,English,001,r8,
feth_teth_foth.wav,R/A,feth and teth           feth and foth,L,a,0,11,11,9,,,2,4.045,2019_Jan_23_1821,59.8953765395,English,001,r8,
shiz_shaz_kiz.wav,R/A,shiz and shaz           shiz and kiz,R,h,0,12,12,0,,,5,4.687,2019_Jan_23_1821,59.8953765395,English,001,r8,
fep_flep_kep.wav,R/CO,fep and flep           fep and kep,R,none,0,13,13,21,,,5,4.18,2019_Jan_23_1821,59.8953765395,English,001,r8,
sem_tem_som.wav,R/A,sem and tem           sem and som,L,a,0,14,14,3,,,2,4.844,2019_Jan_23_1821,59.8953765395,English,001,r8,
sitch_smitch_satch.wav,CO/A,sitch and smitch           sitch and satch,L,h,0,15,15,14,,,2,14.88,2019_Jan_23_1821,59.8953765395,English,001,r8,
siz_piz_stiz.wav,R/CO,siz and piz           siz and stiz,L,none,0,16,16,26,,,2,9.371,2019_Jan_23_1821,59.8953765395,English,001,r8,
shiz_shriz_shaz.wav,CO/A,shiz and shriz           shiz and shaz,L,h,0,17,17,10,,,4,3.645,2019_Jan_23_1821,59.8953765395,English,001,r8,
siff_piff_sliff.wav,R/CO,siff and piff           siff and sliff,L,none,0,18,18,22,,,5,4.392,2019_Jan_23_1821,59.8953765395,English,001,r8,
siz_saz_piz.wav,R/A,siz and saz           siz and piz,R,h,0,19,19,6,,,2,6.363,2019_Jan_23_1821,59.8953765395,English,001,r8,
fev_fov_flev.wav,CO/A,fev and fov           fev and flev,R,a,0,20,20,15,,,2,4.359,2019_Jan_23_1821,59.8953765395,English,001,r8,
fep_fop_flep.wav,CO/A,fep and fop           fep and flep,R,a,0,21,21,11,,,5,9.061,2019_Jan_23_1821,59.8953765395,English,001,r8,
sem_som_slem.wav,CO/A,sem and som           sem and slem,R,a,0,22,22,13,,,4,4.875,2019_Jan_23_1821,59.8953765395,English,001,r8,
sith_tith_slith.wav,R/CO,sith and tith           sith and slith,L,none,0,23,23,28,,,4,4.276,2019_Jan_23_1821,59.8953765395,English,001,r8,
fev_kev_fov.wav,R/A,fev and kev           fev and fov,L,a,0,24,24,5,,,4,3.707,2019_Jan_23_1821,59.8953765395,English,001,r8,
siz_stiz_saz.wav,CO/A,siz and stiz           siz and saz,L,h,0,25,25,16,,,4,4.156,2019_Jan_23_1821,59.8953765395,English,001,r8,
feth_fleth_teth.wav,R/CO,feth and fleth           feth and teth,R,none,0,26,26,29,,,5,3.261,2019_Jan_23_1821,59.8953765395,English,001,r8,
feth_foth_fleth.wav,CO/A,feth and foth           feth and fleth,R,a,0,27,27,19,,,5,4.194,2019_Jan_23_1821,59.8953765395,English,001,r8,
sith_sath_tith.wav,R/A,sith and sath           sith and tith,R,h,0,28,28,8,,,2,3.742,2019_Jan_23_1821,59.8953765395,English,001,r8,
thep_tep_thop.wav,R/A,thep and tep           thep and thop,L,a,0,29,29,7,,,6,4.477,2019_Jan_23_1821,59.8953765395,English,001,r8,
