sound,predicted_order,structure,binomials,misc,rule,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,rating_2.response,rating_2.rt,date,frameRate,expName,session,participant
,,,,,,,,,,,,,,space,22.620908,,,,,2015_Dec_29_1156,31.99063746,binobino,1,r302
C:\Users\viola\Desktop\FR_GHM\rouzaperouzaille.wav,L,conj,ni rouzape ni rouzaille         ni rouzaille ni rouzape,diff,FS,0,0,0,18,,,,,,,4,31.392,,,2015_Dec_29_1156,31.99063746,binobino,1,r302
C:\Users\viola\Desktop\FR_GHM\fuglatefuglite.wav,R,conj,ni fuglate ni fuglite               ni fuglite ni fuglate,h,VQ,0,1,1,36,,,,,,,4,54.283,,,2015_Dec_29_1156,31.99063746,binobino,1,r302
C:\Users\viola\Desktop\FR_GHM\davailedavaisse.wav,R,conj,ni davaile ni davaisse          ni davaisse ni davaile,same,FS,0,2,2,15,,,,,,,2,21.022,,,2015_Dec_29_1156,31.99063746,binobino,1,r302
C:\Users\viola\Desktop\FR_GHM\plirotpirot.wav,R,conj,ni plirot ni pirot                  ni pirot ni plirot,nan,ICN,0,3,3,47,,,,,,,2,25.707,,,2015_Dec_29_1156,31.99063746,binobino,1,r302
C:\Users\viola\Desktop\FR_GHM\trivaipetivaipe.wav,R,conj,ni trivaipe ni tivaipe            ni tivaipe ni trivaipe,nan,ICN,0,4,4,45,,,,,,,1,17.982,,,2015_Dec_29_1156,31.99063746,binobino,1,r302
C:\Users\viola\Desktop\FR_GHM\noupetgoupet.wav,L,red,noupet-goupet          goupet-noupet,same,IS,0,5,5,0,,,,,,,5,22.004,,,2015_Dec_29_1156,31.99063746,binobino,1,r302
C:\Users\viola\Desktop\FR_GHM\rataferatalle.wav,L,red,ratafe-ratalle             ratalle-ratafe,same,FS,0,6,6,14,,,,,,,3,32.953,,,2015_Dec_29_1156,31.99063746,binobino,1,r302
C:\Users\viola\Desktop\FR_GHM\capaiccapaicte.wav,L,conj,ni capaic ni capaicte          ni capaicte ni capaic,stop,FCN,0,7,7,58,,,,,,,2,13.136,,,2015_Dec_29_1156,31.99063746,binobino,1,r302
C:\Users\viola\Desktop\FR_GHM\guinotterinotte.wav,R,red,guinotte-rinotte         rinotte-guinotte,diff,IS,0,8,8,3,,,,,,,1,10.163,,,2015_Dec_29_1156,31.99063746,binobino,1,r302
C:\Users\viola\Desktop\FR_GHM\cadaillecadape.wav,R,conj,ni cadaille ni cadape           ni cadape ni cadaille,diff,FS,0,9,9,17,,,,,,,5,15.28,,,2015_Dec_29_1156,31.99063746,binobino,1,r302
C:\Users\viola\Desktop\FR_GHM\gouvactegouvac.wav,R,conj,ni gouvacte ni gouvac         ni gouvac ni gouvacte,stop,FCN,0,10,10,55,,,,,,,4,35.49,,,2015_Dec_29_1156,31.99063746,binobino,1,r302
C:\Users\viola\Desktop\FR_GHM\chouvetrouvet.wav,R,conj,ni chouvet ni rouvet             ni rouvet ni chouvet,same,IS,0,11,11,9,,,,,,,2,21.063,,,2015_Dec_29_1156,31.99063746,binobino,1,r302
C:\Users\viola\Desktop\FR_GHM\rupottetupotte.wav,L,red,rupotte-tupotte          tupotte-rupotte,diff,IS,0,12,12,1,,,,,,,1,12.211,,,2015_Dec_29_1156,31.99063746,binobino,1,r302
C:\Users\viola\Desktop\FR_GHM\madetgadet.wav,L,red,madet-gadet            gadet-madet,same,IS,0,13,13,4,,,,,,,1,13.932,,,2015_Dec_29_1156,31.99063746,binobino,1,r302
C:\Users\viola\Desktop\FR_GHM\talaiquetalaime.wav,L,red,talaique-talaime        talaime-talaique        ,same,FS,0,14,14,12,,,,,,,3,23.217,,,2015_Dec_29_1156,31.99063746,binobino,1,r302
C:\Users\viola\Desktop\FR_GHM\ranaidecanaide.wav,L,conj,ni ranaide ni canaide           ni canaide ni ranaide,diff,IS,0,15,15,6,,,,,,,2,24.775,,,2015_Dec_29_1156,31.99063746,binobino,1,r302
C:\Users\viola\Desktop\FR_GHM\gavaipemavaipe.wav,R,conj,ni gavaipe ni mavaipe          ni mavaipe ni gavaipe,same,IS,0,16,16,7,,,,,,,2,16.824,,,2015_Dec_29_1156,31.99063746,binobino,1,r302
C:\Users\viola\Desktop\FR_GHM\chavintechavette.wav,R,red,chavinte-chavette      chavette-chavinte,cl,VN,0,17,17,22,,,,,,,2,23.807,,,2015_Dec_29_1156,31.99063746,binobino,1,r302
C:\Users\viola\Desktop\FR_GHM\traplintetraplette.wav,R,conj,ni traplinte ni traplette         ni traplette ni traplinte,cl,VN,0,18,18,26,,,,,,,5,37.375,,,2015_Dec_29_1156,31.99063746,binobino,1,r302
C:\Users\viola\Desktop\FR_GHM\plamotteplamette.wav,R,conj,ni plamotte ni plamette       ni plamette ni plamotte,a,VQ,0,19,19,39,,,,,,,2,18.272,,,2015_Dec_29_1156,31.99063746,binobino,1,r302
C:\Users\viola\Desktop\FR_GHM\livottedivotte.wav,L,conj,ni livotte ni divotte               ni divotte ni livotte,diff,IS,0,20,20,8,,,,,,,4,13.996,,,2015_Dec_29_1156,31.99063746,binobino,1,r302
C:\Users\viola\Desktop\FR_GHM\padafepadafre.wav,L,red,padafe-padafre           padafre-padafe  ,fr,FCN,0,21,21,50,,,,,,,3,28.796,,,2015_Dec_29_1156,31.99063746,binobino,1,r302
C:\Users\viola\Desktop\FR_GHM\taguelague.wav,R,red,taguet-laguet            laguet-taguet,diff,IS,0,22,22,2,,,,,,,1,7.4,,,2015_Dec_29_1156,31.99063746,binobino,1,r302
C:\Users\viola\Desktop\FR_GHM\clavrercavrer.wav,R,conj,ni clavrer ni cavrer             ni cavrer ni clavrer,nan,ICN,0,23,23,49,,,,,,,2,18.497,,,2015_Dec_29_1156,31.99063746,binobino,1,r302
C:\Users\viola\Desktop\FR_GHM\tuguettruguet.wav,L,red,tuguet-truguet            truguet-tuguet,nan,ICN,0,24,24,44,,,,,,,5,13.75,,,2015_Dec_29_1156,31.99063746,binobino,1,r302
