sound,predicted_order,structure,binomials,misc,rule,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,rating_2.response,rating_2.rt,date,frameRate,expName,session,participant
,,,,,,,,,,,,,,space,9.914743036,,,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\coubadecoubaille.wav,L,conj,ni coubade ni coubaille       ni coubaille ni coubade,diff,FS,0,0,0,16,,,,,,,6,12.818,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\ganoucteganouc.wav,R,red,ganoucte-ganouc       ganouc-ganoucte,stop,FCN,0,1,1,53,,,,,,,3,13.013,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\chouvetrouvet.wav,R,conj,ni chouvet ni rouvet             ni rouvet ni chouvet,same,IS,0,2,2,9,,,,,,,3,16.609,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\fuglatefuglite.wav,R,conj,ni fuglate ni fuglite               ni fuglite ni fuglate,h,VQ,0,3,3,36,,,,,,,4,19.923,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\cralontecralotte.wav,R,red,cralonte-cralotte        cralotte-cralonte,cl,VN,0,4,4,24,,,,,,,3,26.7,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\trapiletrapale.wav,L,conj,ni trapile ni trapale              ni trapale ni trapile,h,VQ,0,5,5,38,,,,,,,2,12.744,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\stolastolan.wav,L,conj,ni stola ni stolan                ni stolan ni stola,op,VN,0,6,6,25,,,,,,,5,9.755,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\davaisdavain.wav,L,conj,ni davais ni davain              ni davain ni davais,op,VN,0,7,7,27,,,,,,,3,9.468,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\flitaflitan.wav,L,conj,ni flita ni flitan                    ni flitan ni flita,op,VN,0,8,8,29,,,,,,,6,9.765,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\brezouillebezouille.wav,R,red,brezouille-bezouille    bezouille-brezouille,nan,ICN,0,9,9,43,,,,,,,1,14.437,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\chipanechipague.wav,R,red,chipane-chipague     chipague-chipane,same,FS,0,10,10,13,,,,,,,1,17.562,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\trivaipetivaipe.wav,R,conj,ni trivaipe ni tivaipe            ni tivaipe ni trivaipe,nan,ICN,0,11,11,45,,,,,,,2,11.28,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\livottedivotte.wav,L,conj,ni livotte ni divotte               ni divotte ni livotte,diff,IS,0,12,12,8,,,,,,,3,16.754,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\pamiquelamique.wav,R,conj,ni pamique ni lamique         ni lamique ni pamique,diff,IS,0,13,13,5,,,,,,,2,11.8,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\davailedavaisse.wav,R,conj,ni davaile ni davaisse          ni davaisse ni davaile,same,FS,0,14,14,15,,,,,,,5,20.041,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\ladacladacte.wav,L,conj,ni ladac ni ladacte             ni ladacte ni ladac,stop,FCN,0,15,15,56,,,,,,,5,10.477,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\vulpontevulpotte.wav,R,conj,ni vulponte ni vulpotte         ni vulpotte ni vulponte,cl,VN,0,16,16,28,,,,,,,5,10.25,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\madetgadet.wav,L,red,madet-gadet            gadet-madet,same,IS,0,17,17,4,,,,,,,5,6.911,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\padaquepadique.wav,R,red,padaque-padique      padique-padaque,h,VQ,0,18,18,32,,,,,,,5,9.744,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\rataferatalle.wav,L,red,ratafe-ratalle             ratalle-ratafe,same,FS,0,19,19,14,,,,,,,2,8.714,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\clavrercavrer.wav,R,conj,ni clavrer ni cavrer             ni cavrer ni clavrer,nan,ICN,0,20,20,49,,,,,,,2,10.802,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\bicafebicafre.wav,L,red,bicafe-bicafre             bicafre-bicafe,fr,FCN,0,21,21,54,,,,,,,5,4.338,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\tipametipague.wav,R,conj,ni tipame ni tipague            ni tipague ni tipame,same,FS,0,22,22,19,,,,,,,2,14.102,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\talaiquetalaime.wav,L,red,talaique-talaime        talaime-talaique        ,same,FS,0,23,23,12,,,,,,,5,10.694,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\goudintegoudette.wav,R,red,goudinte-goudette     goudette-goudinte,cl,VN,0,24,24,20,,,,,,,5,11.417,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\rouzaperouzaille.wav,L,conj,ni rouzape ni rouzaille         ni rouzaille ni rouzape,diff,FS,0,25,25,18,,,,,,,2,9.666,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\taguelague.wav,R,red,taguet-laguet            laguet-taguet,diff,IS,0,26,26,2,,,,,,,2,6.751,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\tuguettruguet.wav,L,red,tuguet-truguet            truguet-tuguet,nan,ICN,0,27,27,44,,,,,,,5,5.754,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
C:\Users\viola\Desktop\FR_GHM\plirotpirot.wav,R,conj,ni plirot ni pirot                  ni pirot ni plirot,nan,ICN,0,28,28,47,,,,,,,2,5.046,,,2016_Feb_29_1707,32.06663191,binobino,1,r319
