sound,predicted_order,structure,binomials,misc,rule,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,rating_2.response,rating_2.rt,date,frameRate,expName,session,participant
,,,,,,,,,,,,,,space,9.366312133,,,,,2016_Mar_02_1509,31.94261834,binobino,1,r320
C:\Users\viola\Desktop\FR_GHM\fomaigeflomaige.wav,L,conj,ni fomaige ni flomaige        ni flomaige ni fomaige,nan,ICN,0,0,0,46,,,,,,,5,10.383,,,2016_Mar_02_1509,31.94261834,binobino,1,r320
C:\Users\viola\Desktop\FR_GHM\trapiletrapale.wav,L,conj,ni trapile ni trapale              ni trapale ni trapile,h,VQ,0,1,1,38,,,,,,,1,7.301,,,2016_Mar_02_1509,31.94261834,binobino,1,r320
C:\Users\viola\Desktop\FR_GHM\taguelague.wav,R,red,taguet-laguet            laguet-taguet,diff,IS,0,2,2,2,,,,,,,1,6.289,,,2016_Mar_02_1509,31.94261834,binobino,1,r320
C:\Users\viola\Desktop\FR_GHM\clavrercavrer.wav,R,conj,ni clavrer ni cavrer             ni cavrer ni clavrer,nan,ICN,0,3,3,49,,,,,,,6,11.9,,,2016_Mar_02_1509,31.94261834,binobino,1,r320
C:\Users\viola\Desktop\FR_GHM\stolastolan.wav,L,conj,ni stola ni stolan                ni stolan ni stola,op,VN,0,4,4,25,,,,,,,3,10.532,,,2016_Mar_02_1509,31.94261834,binobino,1,r320
C:\Users\viola\Desktop\FR_GHM\ridacteridac.wav,R,red,ridacte-ridac              ridac-ridacte,stop,FCN,0,5,5,51,,,,,,,4,8.533,,,2016_Mar_02_1509,31.94261834,binobino,1,r320
C:\Users\viola\Desktop\FR_GHM\chouvetrouvet.wav,R,conj,ni chouvet ni rouvet             ni rouvet ni chouvet,same,IS,0,6,6,9,,,,,,,5,9.623,,,2016_Mar_02_1509,31.94261834,binobino,1,r320
C:\Users\viola\Desktop\FR_GHM\ladacladacte.wav,L,conj,ni ladac ni ladacte             ni ladacte ni ladac,stop,FCN,0,7,7,56,,,,,,,2,12.396,,,2016_Mar_02_1509,31.94261834,binobino,1,r320
C:\Users\viola\Desktop\FR_GHM\fluponfupon.wav,R,red,flupon-fupon              fupon-flupon,nan,ICN,0,8,8,41,,,,,,,5,13.214,,,2016_Mar_02_1509,31.94261834,binobino,1,r320
C:\Users\viola\Desktop\FR_GHM\ganoucteganouc.wav,R,red,ganoucte-ganouc       ganouc-ganoucte,stop,FCN,0,9,9,53,,,,,,,4,6.68,,,2016_Mar_02_1509,31.94261834,binobino,1,r320
C:\Users\viola\Desktop\FR_GHM\davaisdavain.wav,L,conj,ni davais ni davain              ni davain ni davais,op,VN,0,10,10,27,,,,,,,6,13.387,,,2016_Mar_02_1509,31.94261834,binobino,1,r320
C:\Users\viola\Desktop\FR_GHM\coubadecoubaille.wav,L,conj,ni coubade ni coubaille       ni coubaille ni coubade,diff,FS,0,11,11,16,,,,,,,2,8.374,,,2016_Mar_02_1509,31.94261834,binobino,1,r320
C:\Users\viola\Desktop\FR_GHM\livottedivotte.wav,L,conj,ni livotte ni divotte               ni divotte ni livotte,diff,IS,0,12,12,8,,,,,,,6,6.975,,,2016_Mar_02_1509,31.94261834,binobino,1,r320
C:\Users\viola\Desktop\FR_GHM\rupottetupotte.wav,L,red,rupotte-tupotte          tupotte-rupotte,diff,IS,0,13,13,1,,,,,,,2,11.327,,,2016_Mar_02_1509,31.94261834,binobino,1,r320
C:\Users\viola\Desktop\FR_GHM\tidatidan.wav,L,red,tida-tidan                  tidan-tida,op,VN,0,14,14,21,,,,,,,5,8.347,,,2016_Mar_02_1509,31.94261834,binobino,1,r320
C:\Users\viola\Desktop\FR_GHM\padaquepadique.wav,R,red,padaque-padique      padique-padaque,h,VQ,0,15,15,32,,,,,,,5,13.846,,,2016_Mar_02_1509,31.94261834,binobino,1,r320
C:\Users\viola\Desktop\FR_GHM\flitaflitan.wav,L,conj,ni flita ni flitan                    ni flitan ni flita,op,VN,0,16,16,29,,,,,,,1,12.168,,,2016_Mar_02_1509,31.94261834,binobino,1,r320
C:\Users\viola\Desktop\FR_GHM\fuglatefuglite.wav,R,conj,ni fuglate ni fuglite               ni fuglite ni fuglate,h,VQ,0,17,17,36,,,,,,,5,9.617,,,2016_Mar_02_1509,31.94261834,binobino,1,r320
C:\Users\viola\Desktop\FR_GHM\madetgadet.wav,L,red,madet-gadet            gadet-madet,same,IS,0,18,18,4,,,,,,,5,8.157,,,2016_Mar_02_1509,31.94261834,binobino,1,r320
C:\Users\viola\Desktop\FR_GHM\tipametipague.wav,R,conj,ni tipame ni tipague            ni tipague ni tipame,same,FS,0,19,19,19,,,,,,,1,12.301,,,2016_Mar_02_1509,31.94261834,binobino,1,r320
C:\Users\viola\Desktop\FR_GHM\cralontecralotte.wav,R,red,cralonte-cralotte        cralotte-cralonte,cl,VN,0,20,20,24,,,,,,,2,11.53,,,2016_Mar_02_1509,31.94261834,binobino,1,r320
C:\Users\viola\Desktop\FR_GHM\tuguettruguet.wav,L,red,tuguet-truguet            truguet-tuguet,nan,ICN,0,21,21,44,,,,,,,5,12.607,,,2016_Mar_02_1509,31.94261834,binobino,1,r320
C:\Users\viola\Desktop\FR_GHM\gavaipemavaipe.wav,R,conj,ni gavaipe ni mavaipe          ni mavaipe ni gavaipe,same,IS,0,22,22,7,,,,,,,6,10.529,,,2016_Mar_02_1509,31.94261834,binobino,1,r320
C:\Users\viola\Desktop\FR_GHM\loubotteloubette.wav,R,red,loubotte-loubette       loubette-loubotte,a,VQ,0,23,23,31,,,,,,,1,6.462,,,2016_Mar_02_1509,31.94261834,binobino,1,r320
C:\Users\viola\Desktop\FR_GHM\brezouillebezouille.wav,R,red,brezouille-bezouille    bezouille-brezouille,nan,ICN,0,24,24,43,,,,,,,6,6.62,,,2016_Mar_02_1509,31.94261834,binobino,1,r320
C:\Users\viola\Desktop\FR_GHM\ranaidecanaide.wav,L,conj,ni ranaide ni canaide           ni canaide ni ranaide,diff,IS,0,25,25,6,,,,,,,2,12.22,,,2016_Mar_02_1509,31.94261834,binobino,1,r320
C:\Users\viola\Desktop\FR_GHM\chavintechavette.wav,R,red,chavinte-chavette      chavette-chavinte,cl,VN,0,26,26,22,,,,,,,1,8.164,,,2016_Mar_02_1509,31.94261834,binobino,1,r320
C:\Users\viola\Desktop\FR_GHM\trivaipetivaipe.wav,R,conj,ni trivaipe ni tivaipe            ni tivaipe ni trivaipe,nan,ICN,0,27,27,45,,,,,,,4,11.455,,,2016_Mar_02_1509,31.94261834,binobino,1,r320
C:\Users\viola\Desktop\FR_GHM\ranietteraniotte.wav,L,red,raniette-raniotte        raniotte-raniette,a,VQ,0,28,28,33,,,,,,,5,12.509,,,2016_Mar_02_1509,31.94261834,binobino,1,r320
